Part Name,Part Number,a-yyy,b-nyy,c-yny,d-nny,e-yyn,f-nyn,g-ynn,h-nnn
iPhone 6 32GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 64GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 128GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 Plus 16GB AT&T,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 64GB AT&T,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 128GB AT&T,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 16GB Verizon/Unlocked,A1522/A1524/A1593,85,0,0,0,70,0,0,0
iPhone 6 Plus 64GB Verizon/Unlocked,A1522/A1524/A1593,100,0,0,0,85,0,0,0
iPhone 6 Plus 128GB Verizon/Unlocked,A1522/A1524/A1593,100,0,0,0,85,0,0,0
iPhone 6 Plus 16GB T-Mobile,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 64GB T-Mobile,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 128GB T-Mobile,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 16GB Sprint,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 64GB Sprint,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 128GB Sprint,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 16GB Other,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 64GB Other,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 128GB Other,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6s 16GB AT&T,A1633,64,0,0,0,57,0,0,0
iPhone 6s 32GB AT&T,A1633,64,0,0,0,57,0,0,0
iPhone 6s 64GB AT&T,A1633,71,0,0,0,64,0,0,0
iPhone 6s 128GB AT&T,A1633,71,0,0,0,64,0,0,0
iPhone 6s 16GB Verizon/Unlocked,A1688,92,0,0,0,77,0,0,0
iPhone 6s 32GB Verizon/Unlocked,A1688,92,0,0,0,77,0,0,0
iPhone 6s 64GB Verizon/Unlocked,A1688,107,0,0,0,92,0,0,0
iPhone 6s 128GB Verizon/Unlocked,A1688,107,0,0,0,92,0,0,0
iPhone 6s 16GB T-Mobile,A1688,64,0,0,0,57,0,0,0
iPhone 6s 32GB T-Mobile,A1688,64,0,0,0,57,0,0,0
iPhone 6s 64GB T-Mobile,A1688,71,0,0,0,64,0,0,0
iPhone 6s 128GB T-Mobile,A1688,71,0,0,0,64,0,0,0
iPhone 6s 16GB Sprint,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s 32GB Sprint,A1633/A1688,0,0,0,0,0,0,0,0
iPhone 6s 64GB Sprint,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s 128GB Sprint,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s 16GB Other,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s 32GB Other,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s 64GB Other,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s 128GB Other,A1633/A1688/A1700,0,0,0,0,0,0,0,0
iPhone 6s Plus 16GB AT&T,A1634,108,0,0,0,93,0,0,0
iPhone 6s Plus 32GB AT&T,A1634,108,0,0,0,93,0,0,0
iPhone 6s Plus 64GB AT&T,A1634,123,0,0,0,108,0,0,0
iPhone 6s Plus 128GB AT&T,A1634,123,0,0,0,108,0,0,0
iPhone 6s Plus 16GB Verizon/Unlocked,A1687,131,0,0,0,116,0,0,0
iPhone 6s Plus 32GB Verizon/Unlocked,A1687,131,0,0,0,116,0,0,0
iPhone 6s Plus 64GB Verizon/Unlocked,A1687,162,0,0,0,147,0,0,0
iPhone 6s Plus 128GB Verizon/Unlocked,A1687,162,0,0,0,147,0,0,0
iPhone 6s Plus 16GB T-Mobile,A1687,108,0,0,0,93,0,0,0
iPhone 6s Plus 32GB T-Mobile,A1687,108,0,0,0,93,0,0,0
iPhone 6s Plus 64GB T-Mobile,A1687,123,0,0,0,108,0,0,0
iPhone 6s Plus 128GB T-Mobile,A1634/A1687,123,0,0,0,108,0,0,0
iPhone 6s Plus 16GB Sprint,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 6s Plus 32GB Sprint,A1634/A1687,0,0,0,0,0,0,0,0
iPhone 6s Plus 64GB Sprint,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 6s Plus 128GB Sprint,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 6s Plus 16GB Other,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 6s Plus 32GB Other,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 6s Plus 64GB Other,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 6s Plus 128GB Other,A1634/A1687/A1699,0,0,0,0,0,0,0,0
iPhone 7 32GB AT&T,A1778,132,0,0,0,109,0,0,0
iPhone 7 128GB AT&T,A1778,147,0,0,0,124,0,0,0
iPhone 7 256GB AT&T,A1778,147,0,0,0,124,0,0,0
iPhone 7 32GB Verizon,A1660,196,0,0,0,171,0,0,0
iPhone 7 128GB Verizon,A1660,246,0,0,0,221,0,0,0
iPhone 7 256GB Verizon,A1660,246,0,0,0,221,0,0,0
iPhone 7 32GB Unlocked,A1660/A1778,196,0,0,0,171,0,0,0
iPhone 7 128GB Unlocked,A1660/A1778,246,0,0,0,221,0,0,0
iPhone 7 256GB Unlocked,A1660/A1778,246,0,0,0,221,0,0,0
iPhone 7 32GB T-Mobile,A1778,0,0,0,0,0,0,0,0
iPhone 7 128GB T-Mobile,A1778,0,0,0,0,0,0,0,0
iPhone 7 256GB T-Mobile,A1778,0,0,0,0,0,0,0,0
iPhone 7 32GB Sprint,A1660/A1778/A1779,0,0,0,0,0,0,0,0
iPhone 7 128GB Sprint,A1660/A1778/A1779,0,0,0,0,0,0,0,0
iPhone 7 256GB Sprint,A1660/A1778/A1779,0,0,0,0,0,0,0,0
iPhone 7 32GB Other,A1660/A1778/A1779,0,0,0,0,0,0,0,0
iPhone 7 128GB Other,A1660/A1778/A1779,0,0,0,0,0,0,0,0
iPhone 7 256GB Other,A1660/A1778/A1779,0,0,0,0,0,0,0,0
iPhone 7 Plus 32GB AT&T,A1784,215,0,0,0,187,0,0,0
iPhone 7 Plus 128GB AT&T,A1784,246,0,0,0,218,0,0,0
iPhone 7 Plus 256GB AT&T,A1784,250,0,0,0,218,0,0,0
iPhone 7 Plus 32GB Verizon,A1661,286,0,0,0,255,0,0,0
iPhone 7 Plus 128GB Verizon,A1661,332,0,0,0,301,0,0,0
iPhone 7 Plus 256GB Verizon,A1661,332,0,0,0,301,0,0,0
iPhone 7 Plus 32GB Unlocked,A1661/A1784,286,0,0,0,255,0,0,0
iPhone 7 Plus 128GB Unlocked,A1661/A1784,332,0,0,0,301,0,0,0
iPhone 7 Plus 256GB Unlocked,A1661/A1784,332,0,0,0,301,0,0,0
iPhone 7 Plus 32GB T-Mobile,A1784,0,0,0,0,0,0,0,0
iPhone 7 Plus 128GB T-Mobile,A1784,0,0,0,0,0,0,0,0
iPhone 7 Plus 256GB T-Mobile,A1784,0,0,0,0,0,0,0,0
iPhone 7 Plus 32GB Sprint,A1661/A1784/A1785,0,0,0,0,0,0,0,0
iPhone 7 Plus 128GB Sprint,A1661/A1784/A1785,0,0,0,0,0,0,0,0
iPhone 7 Plus 256GB Sprint,A1661/A1784/A1785,0,0,0,0,0,0,0,0
